,CompanyID,Year,Quarter,Form_Type,Adjusted_Price_Per_Share,Basic_EPS,Total_Common_Shares_Outstanding,Total_Assets,Total_Liabilities,Dividends,Revenue,Net_Income,Capital_Expenditure,Operating_Cash_Flow
0,1551152,2016,1,10-K,40.4214,3.15,1625000000.0,53050000000.0,49105000000.0,3294000000.0,22859000000.0,5144000000.0,532000000.0,7535000000.0
1,1551152,2016,2,10-Q,39.4089,0.83,1616000000.0,53720000000.0,49077000000.0,924000000.0,5958000000.0,1354000000.0,121000000.0,2128000000.0
2,1551152,2016,3,10-Q,43.1259,0.99,1624000000.0,67211000000.0,61571000000.0,1851000000.0,6452000000.0,1610000000.0,252000000.0,4046000000.0
3,1551152,2016,4,10-Q,44.3206,0.97,1632000000.0,66626000000.0,60157000000.0,2784000000.0,6432000000.0,1598000000.0,365000000.0,5500000000.0
4,1551152,2017,1,10-K,44.4142,3.65,1622000000.0,66099000000.0,61463000000.0,3717000000.0,25638000000.0,5953000000.0,479000000.0,7041000000.0
5,1551152,2017,2,10-Q,46.6995,1.07,1597000000.0,65664000000.0,60666000000.0,640000.0,6538000000.0,1711000000.0,95000000.0,2102000000.0
6,1551152,2017,3,10-Q,52.4854,1.19,1595000000.0,66994000000.0,60985000000.0,2051000000.0,6944000000.0,1915000000.0,221000000.0,4105000000.0
7,1551152,2017,4,10-Q,64.8928,1.02,1597000000.0,68840000000.0,62153000000.0,3077000000.0,6995000000.0,1631000000.0,347000000.0,7376000000.0
8,1551152,2018,1,10-K,71.1199,3.31,1596000000.0,70786000000.0,65689000000.0,4107000000.0,28216000000.0,5309000000.0,529000000.0,9960000000.0
9,1551152,2018,2,10-Q,70.1028,1.74,1591000000.0,69342000000.0,65789000000.0,1137000000.0,7934000000.0,2783000000.0,119000000.0,2645000000.0
10,1551152,2018,3,10-Q,69.3366,1.26,1568000000.0,61641000000.0,65016000000.0,960000.0,8278000000.0,1983000000.0,233000000.0,5511000000.0
11,1551152,2018,4,10-Q,71.4917,1.81,1511000000.0,66164000000.0,69085000000.0,4129000000.0,8236000000.0,2747000000.0,515000000.0,10035000000.0
