,CompanyID,Year,Quarter,Form_Type,Adjusted_Price_Per_Share,Basic_EPS,Total_Common_Shares_Outstanding,Total_Assets,Total_Liabilities,Dividends,Revenue,Net_Income,Capital_Expenditure,Operating_Cash_Flow
0,2488,2016,1,10-K,2.8700,-0.84,8000000.0,3109000000.0,3521000000.0,0.0,3991000000.0,-660000000.0,96000000.0,226000000.0
1,2488,2016,2,10-Q,2.8500,-0.14,793000000.0,2981000000.0,3484000000.0,0.0,832000000.0,-109000000.0,26000000.0,42000000.0
2,2488,2016,3,10-Q,5.1400,-0.09,794000000.0,3316000000.0,3729000000.0,0.0,1027000000.0,-69000000.0,47000000.0,127000000.0
3,2488,2016,4,10-Q,6.9100,-0.50,926000000.0,3616000000.0,4001000000.0,12000000.0,1307000000.0,-406000000.0,56000000.0,98000000.0
4,2488,2017,1,10-K,11.3400,-0.60,835000000.0,3321000000.0,3737000000.0,20000000.0,4272000000.0,-497000000.0,77000000.0,90000000.0
5,2488,2017,2,10-Q,13.3000,-0.08,939000000.0,3299000000.0,2890000000.0,0.0,984000000.0,-73000000.0,23000000.0,299000000.0
6,2488,2017,3,10-Q,13.6100,-0.02,945000000.0,3370000000.0,2953000000.0,0.0,1222000000.0,-16000000.0,35000000.0,381000000.0
7,2488,2017,4,10-Q,12.7500,-0.07,957000000.0,3586000000.0,3066000000.0,0.0,1643000000.0,-71000000.0,69000000.0,315000000.0
8,2488,2018,1,10-K,10.2800,-0.06,965000000.0,3540000000.0,2929000000.0,0.0,1490000000.0,-61000000.0,113000000.0,68000000.0
9,2488,2018,2,10-Q,10.0500,-0.08,968000000.0,3763000000.0,3048000000.0,0.0,1647000000.0,-81000000.0,46000000.0,86000000.0
10,2488,2018,3,10-Q,14.9900,-0.12,1147000000.0,4103000000.0,3224000000.0,0.0,1756000000.0,-116000000.0,89000000.0,131000000.0
11,2488,2018,4,10-Q,30.8900,-0.10,987000000.0,4347000000.0,3222000000.0,0.0,1653000000.0,-102000000.0,122000000.0,36000000.0
12,2488,2019,1,10-K,18.4600,-0.04,1002000000.0,4556000000.0,3290000000.0,70000000.0,1419000000.0,-38000000.0,163000000.0,34000000.0
13,2488,2019,2,10-Q,25.5200,0.01,1044000000.0,4931000000.0,3143000000.0,0.0,1272000000.0,16000000.0,62000000.0,213000000.0
14,2488,2019,3,10-Q,30.3700,0.03,1084000000.0,5102000000.0,3201000000.0,35000000.0,1531000000.0,35000000.0,119000000.0,183000000.0
