,CompanyID,Year,Quarter,Form_Type,Adjusted_Price_Per_Share,Basic_EPS,Total_Common_Shares_Outstanding,Total_Assets,Total_Liabilities,Dividends,Revenue,Net_Income,Capital_Expenditure,Operating_Cash_Flow
0,318154,2016,1,10-K,124.5620,9.15,754000000.0,71576000000.0,43493000000.0,2396000000.0,21662000000.0,6939000000.0,594000000.0,9077000000.0
1,318154,2016,2,10-Q,115.8603,2.52,751300000.0,75116000000.0,46434000000.0,752000000.0,5527000000.0,1900000000.0,156000000.0,1915000000.0
2,318154,2016,3,10-Q,118.3476,2.49,748900000.0,75471000000.0,45338000000.0,1504000000.0,5688000000.0,1870000000.0,344000000.0,4592000000.0
3,318154,2016,4,10-Q,130.4938,2.70,744800000.0,78150000000.0,47377000000.0,2251000000.0,5811000000.0,2017000000.0,511000000.0,7254000000.0
4,318154,2017,1,10-K,115.1598,10.32,738200000.0,77626000000.0,47751000000.0,2998000000.0,22991000000.0,7722000000.0,738000000.0,10354000000.0
5,318154,2017,2,10-Q,130.1133,2.81,736100000.0,77862000000.0,47225000000.0,847000000.0,5464000000.0,2071000000.0,168000000.0,2385000000.0
6,318154,2017,3,10-Q,137.5664,2.93,730700000.0,79587000000.0,47865000000.0,1693000000.0,5810000000.0,2151000000.0,353000000.0,4711000000.0
7,318154,2017,4,10-Q,149.9316,2.78,726600000.0,80331000000.0,48102000000.0,2531000000.0,5773000000.0,2021000000.0,511000000.0,8165000000.0
8,318154,2018,1,10-K,140.7814,2.69,722200000.0,79954000000.0,54713000000.0,3365000000.0,22849000000.0,1979000000.0,664000000.0,11177000000.0
9,318154,2018,2,10-Q,139.0275,3.27,666400000.0,71164000000.0,55544000000.0,951000000.0,5554000000.0,2311000000.0,155000000.0,2727000000.0
10,318154,2018,3,10-Q,151.6776,3.48,649000000.0,67684000000.0,52775000000.0,1816000000.0,6059000000.0,2296000000.0,342000000.0,4829000000.0
11,318154,2018,4,10-Q,171.4747,2.88,640500000.0,67333000000.0,52984000000.0,1320000.0,5904000000.0,1859000000.0,513000000.0,8102000000.0
12,318154,2019,1,10-K,162.1397,12.62,722200000.0,66416000000.0,53916000000.0,3507000000.0,23747000000.0,8394000000.0,738000000.0,11296000000.0
13,318154,2019,2,10-Q,159.4625,3.20,614400000.0,63997000000.0,53165000000.0,901000000.0,5557000000.0,1992000000.0,116000000.0,1845000000.0
14,318154,2019,3,10-Q,155.9981,3.59,602100000.0,59373000000.0,48579000000.0,1781000000.0,5871000000.0,2179000000.0,260000000.0,3259000000.0
15,318154,2019,4,10-Q,165.0059,3.29,596200000.0,59535000000.0,48608000000.0,2649000000.0,5737000000.0,1968000000.0,430000000.0,6636000000.0
16,318154,2020,1,10-K,206.9244,12.96,591400000.0,59707000000.0,50034000000.0,3509000000.0,23362000000.0,7842000000.0,618000000.0,9150000000.0
17,318154,2020,2,10-Q,175.2633,3.09,588000000.0,61669000000.0,52184000000.0,945000000.0,6161000000.0,1825000000.0,142000000.0,2134000000.0
18,318154,2020,3,10-Q,205.2629,3.07,586400000.0,65011000000.0,54352000000.0,1887000000.0,6206000000.0,1803000000.0,300000000.0,4976000000.0
19,318154,2020,4,10-Q,222.6653,3.43,583500000.0,64637000000.0,53678000000.0,2823000000.0,6423000000.0,2021000000.0,435000000.0,8344000000.0
20,318154,2021,1,10-K,202.7869,12.40,591400000.0,62948000000.0,53539000000.0,3755000000.0,25424000000.0,7264000000.0,608000000.0,10497000000.0
21,318154,2021,2,10-Q,221.0909,2.85,575300000.0,62539000000.0,53205000000.0,1016000000.0,5901000000.0,1646000000.0,166000000.0,2104000000.0
22,318154,2021,3,10-Q,218.1110,0.81,569600000.0,59773000000.0,51526000000.0,2024000000.0,6526000000.0,464000000.0,351000000.0,4035000000.0
23,318154,2021,4,10-Q,191.7316,3.31,565000000.0,64993000000.0,56776000000.0,3023000000.0,6706000000.0,1884000000.0,593000000.0,6453000000.0
24,318154,2022,1,10-K,204.5610,10.34,558300000.0,61165000000.0,54465000000.0,4013000000.0,25979000000.0,5893000000.0,880000000.0,9261000000.0
25,318154,2022,2,10-Q,221.7845,2.69,534200000.00000006,59196000000.0,58280000000.0,1080000000.0,6238000000.0,1476000000.0,190000000.0,2164000000.0
26,318154,2022,3,10-Q,224.9169,2.46,534900000.0,59294000000.0,56875000000.0,2118000000.0,6594000000.0,1317000000.0,436000000.0,4094000000.0
27,318154,2022,4,10-Q,209.9826,4.01,533500000.0,63700000000.0,60047000000.0,3156000000.0,6652000000.0,2143000000.0,596000000.0,7072000000.0
28,318154,2023,1,10-K,246.3481,12.18,534000000.0,65121000000.0,61460000000.0,4196000000.0,26323000000.0,6552000000.0,936000000.0,9721000000.0
29,318154,2023,2,10-Q,228.7578,5.32,534299999.99999994,88720000000.0,83372000000.0,1137000000.0,6105000000.0,2841000000.0,344000000.0,1064000000.0
30,318154,2023,3,10-Q,212.0768,2.58,534900000.0,90269000000.0,83488000000.0,2276000000.0,6986000000.0,1379000000.0,615000000.0,5173000000.0
31,318154,2023,4,10-Q,258.7960,3.23,535100000.0,90534000000.0,82878000000.0,3416000000.0,6903000000.0,1730000000.0,863000000.0,7933000000.0
32,318154,2024,1,10-K,279.5380,12.56,535400000.0,97154000000.0,90922000000.0,4556000000.0,28190000000.0,6717000000.0,1112000000.0,8471000000.0
33,318154,2024,2,10-Q,278.0948,-0.21,536400000.0,92980000000.0,87958000000.0,1208000000.0,7447000000.0,-113000000.0,230000000.0,689000000.0
34,318154,2024,3,10-Q,307.7938,1.39,537200000.0,90907000000.0,84982000000.0,2417000000.0,8388000000.0,746000000.0,468000000.0,3148000000.0
35,318154,2024,4,10-Q,319.6301,5.27,535400000.0,90883000000.0,83356000000.0,3627000000.0,8503000000.0,2830000000.0,725000000.0,6719000000.0
