,CompanyID,Year,Quarter,Form_Type,Adjusted_Price_Per_Share,Basic_EPS,Total_Common_Shares_Outstanding,Total_Assets,Total_Liabilities,Dividends,Revenue,Net_Income,Capital_Expenditure,Operating_Cash_Flow
0,18230,2016,1,10-K,54.0037,3.54,601300000.0,78497000000.0,63612000000.0,1757000000.0,47011000000.0,2102000000.0,1388000000.0,6675000000.0
1,18230,2016,2,10-Q,61.6040,0.46,582800000.0,78307000000.0,62554000000.0,448000000.0,9461000000.0,271000000.0,357000000.0,489000000.0
2,18230,2016,3,10-Q,61.6137,0.94,584100000.0,78300000000.0,62997000000.0,898000000.0,10342000000.0,550000000.0,580000000.0,2800000000.0
3,18230,2016,4,10-Q,72.8428,0.48,584700000.0,76402000000.0,60687000000.0,1348000000.0,9160000000.0,283000000.0,807000000.0,3963000000.0
4,18230,2017,1,10-K,76.7769,-0.11,584300000.0,74704000000.0,61491000000.0,1799000000.0,38537000000.0,-67000000.0,1109000000.0,5608000000.0
5,18230,2017,2,10-Q,77.4270,0.33,587500000.0,77549000000.0,63889000000.0,452000000.0,9822000000.0,192000000.0,204000000.0,1541000000.0
6,18230,2017,3,10-Q,90.4268,1.36,590200000.0,78510000000.0,64431000000.0,906000000.0,11331000000.0,802000000.0,371000000.0,3921000000.0
7,18230,2017,4,10-Q,105.7070,1.79,592900000.0,78560000000.0,62863000000.0,1367000000.0,11413000000.0,1059000000.0,566000000.0,5161000000.0
8,18230,2018,1,10-K,134.3615,-1.27,591800000.0,76962000000.0,63196000000.0,1831000000.0,45462000000.0,-754000000.0,898000000.0,5702000000.0
9,18230,2018,2,10-Q,126.2396,2.78,598000000.0,78014000000.0,62742000000.0,467000000.0,12859000000.0,1665000000.0,412000000.0,935000000.0
10,18230,2018,3,10-Q,116.8008,2.86,596200000.0,78987000000.0,64045000000.0,933000000.0,14011000000.0,1707000000.0,645000000.0,3083000000.0
11,18230,2018,4,10-Q,132.0912,2.92,592100000.0,78209000000.0,62319000000.0,1444000000.0,747000000.0,1727000000.0,921000000.0,4475000000.0
12,18230,2019,1,10-K,110.7925,-10.39,591400000.0,78509000000.0,64429000000.0,1951000000.0,2900000000.0,-6147000000.0,1276000000.0,6558000000.0
13,18230,2019,2,10-Q,118.8777,3.29,572400000.0,78726000000.0,63248000000.0,494000000.0,742000000.0,1881000000.0,278000000.0,1121000000.0
14,18230,2019,3,10-Q,120.2969,2.85,567800000.0,79187000000.0,64309000000.0,986000000.0,761000000.0,1620000000.0,479000000.0,3709000000.0
15,18230,2019,4,10-Q,112.3310,2.69,556300000.0,77993000000.0,63000000000.0,1564000000.0,784000000.0,1494000000.0,723000000.0,4478000000.0
16,18230,2020,1,10-K,132.3708,-10.85,561600000.0,78453000000.0,63824000000.0,2132000000.0,3045000000.0,-6093000000.0,1056000000.0,6912000000.0
17,18230,2020,2,10-Q,104.7357,2.00,546800000.0,75894000000.0,61655000000.0,567000000.0,9914000000.0,1092000000.0,305000000.0,1130000000.0
18,18230,2020,3,10-Q,115.1879,0.84,541500000.0,76566000000.0,62789000000.0,1125000000.0,687000000.0,458000000.0,472000000.0,2521000000.0
19,18230,2020,4,10-Q,136.8343,1.23,542300000.0,76741000000.0,61747000000.0,1683000000.0,653000000.0,668000000.0,686000000.0,4255000000.0
20,18230,2021,1,10-K,168.0104,-5.51,544100000.0,78324000000.0,62946000000.0,2243000000.0,2726000000.0,-2998000000.0,978000000.0,6327000000.0
21,18230,2021,2,10-Q,215.1595,2.80,546400000.0,80729000000.0,64112000000.0,562000000.0,696000000.0,1530000000.0,252000000.0,1928000000.0
22,18230,2021,3,10-Q,202.8497,2.58,552100000.0,81697000000.0,64817000000.0,1126000000.0,696000000.0,1413000000.0,419000000.0,4046000000.0
23,18230,2021,4,10-Q,179.9104,2.62,544000000.0,80784000000.0,64089000000.0,1733000000.0,690000000.0,1426000000.0,673000000.0,5786000000.0
24,18230,2022,1,10-K,194.8244,-11.93,544000000.0,82793000000.0,66277000000.0,2332000000.0,2783000000.0,-6489000000.0,1093000000.0,7198000000.0
25,18230,2022,2,10-Q,211.0291,2.88,534500000.0,82276000000.0,65179000000.0,595000000.0,703000000.0,1537000000.0,346000000.0,313000000.0
