,CompanyID,Year,Quarter,Form_Type,Adjusted_Price_Per_Share,Basic_EPS,Total_Common_Shares_Outstanding,Total_Assets,Total_Liabilities,Dividends,Revenue,Net_Income,Capital_Expenditure,Operating_Cash_Flow
0,1744489,2019,2,10-Q,108.8325,3.56,1800000000.0,214342000000.0,110003000000.0,1310000000.0,1916000000.0,5611000000.0,2390000000.0,6014000000.0
1,1744489,2019,3,10-Q,136.8763,0.98,1800000000.0,209475000000.0,113119000000.0,1310000000.0,2223000000.0,1982000000.0,3567000000.0,4266000000.0
2,1744489,2019,4,10-K,128.5299,6.68,1800000000.0,193984000000.0,100095000000.0,160000000.0,9028000000.0,11584000000.0,4876000000.0,7764000000.0
3,1744489,2020,1,10-Q,143.5009,1.17,1800000000.0,200948000000.0,106175000000.0,0.0,2783000000.0,2173000000.0,1338000000.0,1630000000.0
4,1744489,2020,2,10-Q,95.8458,0.25,1800000000.0,206294000000.0,111417000000.0,1587000000.0,1835000000.0,535000000.0,2585000000.0,4787000000.0
5,1744489,2020,3,10-Q,110.6394,-2.61,1800000000.0,207649000000.0,117186000000.0,1587000000.0,544000000.0,-4509000000.0,3293000000.0,5949000000.0
6,1744489,2020,4,10-K,120.3034,-1.58,1800000000.0,201549000000.0,113286000000.0,1587000000.0,6123000000.0,-2474000000.0,4022000000.0,7616000000.0
7,1744489,2021,1,10-Q,166.8571,0.01,1800000000.0,201888000000.0,113160000000.0,0.0,1378000000.0,18000000.0,760000000.0,75000000.0
8,1744489,2021,2,10-Q,184.5677,0.50,1800000000.0,200250000000.0,110464000000.0,0.0,1091000000.0,1111000000.0,1530000000.0,1468000000.0
9,1744489,2021,3,10-Q,174.6458,-0.50,1800000000.0,202221000000.0,111099000000.0,0.0,1437000000.0,-1123000000.0,2468000000.0,2934000000.0
10,1744489,2021,4,10-K,167.7501,-1.10,1800000000.0,203609000000.0,110598000000.0,0.0,5650000000.0,-2507000000.0,3578000000.0,5566000000.0
11,1744489,2022,1,10-Q,141.8538,0.61,1800000000.0,203311000000.0,109001000000.0,0.0,2277000000.0,1152000000.0,981000000.0,209000000.0
12,1744489,2022,2,10-Q,110.7585,0.26,1800000010.0,202453000000.0,107794000000.0,0.0,2037000000.0,597000000.0,2060000000.0,1556000000.0
13,1744489,2022,3,10-Q,105.2717,0.77,1800000010.0,204074000000.0,107641000000.0,0.0,2043000000.0,1502000000.0,3795000000.0,3478000000.0
14,1744489,2022,4,10-K,105.7082,-1.73,1800000010.0,203631000000.0,104752000000.0,0.0,8522000000.0,-3505000000.0,4943000000.0,6002000000.0
15,1744489,2023,1,10-Q,86.2017,0.70,1800000010.0,202124000000.0,101989000000.0,0.0,2515000000.0,1361000000.0,1181000000.0,974000000.0
16,1744489,2023,2,10-Q,101.6998,0.70,1800000010.0,204858000000.0,103302000000.0,0.0,2229000000.0,1488000000.0,2430000000.0,2262000000.0
17,1744489,2023,3,10-Q,88.1960,-0.25,1800000000.0,203783000000.0,101727000000.0,0.0,2322000000.0,-153000000.0,3595000000.0,5064000000.0
18,1744489,2023,4,10-K,80.4172,1.29,1800000000.0,205579000000.0,101622000000.0,0.0,9336000000.0,3390000000.0,4969000000.0,9866000000.0
19,1744489,2024,1,10-Q,89.8746,1.04,1900000000.0,197774000000.0,92273000000.0,0.0,2574000000.0,2151000000.0,1299000000.0,2185000000.0
20,1744489,2024,2,10-Q,121.7971,0.01,1900000008.0,195110000000.0,91347000000.0,549000000.0,2326000000.0,216000000.0,2558000000.0,5851000000.0
21,1744489,2024,3,10-Q,98.8332,-1.44,1900000008.0,197772000000.0,92469000000.0,549000000.0,2319000000.0,-2842000000.0,3923000000.0,8453000000.0
22,1744489,2024,4,10-K,96.1900,2.72,1900000008.0,196219000000.0,90697000000.0,1366000000.0,9520000000.0,5773000000.0,5412000000.0,13971000000.0
