,CompanyID,Year,Quarter,Form_Type,Adjusted_Price_Per_Share,Basic_EPS,Total_Common_Shares_Outstanding,Total_Assets,Total_Liabilities,Dividends,Revenue,Net_Income,Capital_Expenditure,Operating_Cash_Flow
0,200406,2016,1,10-K,82.2720,5.56,3120000000.0,133411000000.0,62261000000.0,8173000000.0,70074000000.0,15409000000.0,3463000000.0,19279000000.0
1,200406,2016,2,10-Q,88.9261,1.56,3120000000.0,136231000000.0,63584000000.0,2069000000.0,17482000000.0,4292000000.0,639000000.0,1763000000.0
2,200406,2016,3,10-Q,100.0652,1.46,3120000000.0,139814000000.0,67341000000.0,4266000000.0,18482000000.0,3997000000.0,1396000000.0,6753000000.0
3,200406,2016,4,10-Q,93.3003,1.56,3120000000.0,140369000000.0,67600000000.0,6451000000.0,17820000000.0,4272000000.0,2133000000.0,12114000000.0
4,200406,2017,1,10-K,91.7280,6.04,3120000000.0,141208000000.0,70790000000.0,8621000000.0,71890000000.0,16540000000.0,3226000000.0,18767000000.0
5,200406,2017,2,10-Q,100.6577,1.63,3120000000.0,144918000000.0,74577000000.0,2171000000.0,17766000000.0,4422000000.0,560000000.0,2913000000.0
6,200406,2017,3,10-Q,108.9113,1.42,3120000000.0,152807000000.0,80885000000.0,4433000000.0,18839000000.0,3827000000.0,1249000000.0,8685000000.0
7,200406,2017,4,10-Q,115.1309,1.40,3120000000.0,155658000000.0,81679000000.0,6687000000.0,19650000000.0,3764000000.0,2039000000.0,14951000000.0
8,200406,2018,1,10-K,116.0888,0.48,3120000000.0,157303000000.0,97143000000.0,8943000000.0,76450000000.0,1300000000.0,5642000000.0,21056000000.0
9,200406,2018,2,10-Q,105.7649,1.63,3120000000.0,156625000000.0,93370000000.0,2253000000.0,20009000000.0,4367000000.0,658000000.0,3606000000.0
10,200406,2018,3,10-Q,111.6279,1.47,3120000000.0,155365000000.0,92476000000.0,4668000000.0,20830000000.0,3954000000.0,1533000000.0,9685000000.0
11,200406,2018,4,10-Q,117.1635,1.47,3120000000.0,155703000000.0,91077000000.0,7083000000.0,20348000000.0,3934000000.0,2352000000.0,15957000000.0
12,200406,2019,1,10-K,110.1267,5.70,3120000000.0,152954000000.0,93202000000.0,9494000000.0,81581000000.0,15297000000.0,6929000000.0,22201000000.0
13,200406,2019,2,10-Q,120.0801,1.41,3120000000.0,150027000000.0,91072000000.0,2396000000.0,20021000000.0,3749000000.0,656000000.0,3543000000.0
14,200406,2019,3,10-Q,120.4606,2.11,3120000000.0,155117000000.0,94332000000.0,4918000000.0,20562000000.0,5607000000.0,1493000000.0,9491000000.0
15,200406,2019,4,10-Q,112.7301,0.67,3120000000.0,155521000000.0,97311000000.0,7417000000.0,20729000000.0,1753000000.0,2238000000.0,17018000000.0
16,200406,2020,1,10-K,127.9782,5.72,3120000000.0,157728000000.0,98257000000.0,9917000000.0,82059000000.0,15119000000.0,7009000000.0,23416000000.0
17,200406,2020,2,10-Q,115.7952,2.20,3120000000.0,155017000000.0,93723000000.0,2505000000.0,20691000000.0,5796000000.0,625000000.0,3358000000.0
18,200406,2020,3,10-Q,125.0530,1.38,3120000000.0,158380000000.0,95402000000.0,5164000000.0,18336000000.0,3626000000.0,1287000000.0,6810000000.0
19,200406,2020,4,10-Q,133.2680,1.35,3120000000.0,170693000000.0,106220000000.0,7823000000.0,21082000000.0,3554000000.0,2024000000.0,15193000000.0
20,200406,2021,1,10-K,147.0488,5.59,3120000000.0,174894000000.0,111616000000.0,10481000000.0,82584000000.0,14714000000.0,3347000000.0,23536000000.0
21,200406,2021,2,10-Q,147.6035,2.35,3120000000.0,172557000000.0,106723000000.0,2659000000.0,22321000000.0,6197000000.0,677000000.0,4074000000.0
22,200406,2021,3,10-Q,157.1640,2.38,3120000000.0,176440000000.0,106860000000.0,5450000000.0,23312000000.0,6278000000.0,1490000000.0,9388000000.0
23,200406,2021,4,10-Q,149.5450,1.39,3120000000.0,179228000000.0,108956000000.0,8241000000.0,23338000000.0,3667000000.0,2237000000.0,17678000000.0
24,200406,2022,1,10-K,159.2345,7.93,3120000000.0,182018000000.0,107995000000.0,11032000000.0,93775000000.0,20878000000.0,7390000000.0,23410000000.0
25,200406,2022,2,10-Q,167.8677,1.96,3120000000.0,178355000000.0,103646000000.0,2787000000.0,23426000000.0,5149000000.0,607000000.0,3979000000.0
26,200406,2022,3,10-Q,163.3645,1.83,3120000000.0,177724000000.0,101367000000.0,5758000000.0,24020000000.0,4814000000.0,1470000000.0,9560000000.0
27,200406,2022,4,10-Q,163.9477,1.70,3120000000.0,175124000000.0,100525000000.0,8728000000.0,23791000000.0,4458000000.0,2422000000.0,15844000000.0
28,200406,2023,1,10-K,154.9944,6.83,3120000000.0,187378000000.0,110574000000.0,11682000000.0,94943000000.0,17941000000.0,6970000000.0,21194000000.0
29,200406,2023,2,10-Q,156.3538,0.03,3120000000.0,195969000000.0,125100000000.0,2942000000.0,24746000000.0,68000000.0,863000000.0,3257000000.0
30,200406,2023,3,10-Q,161.2258,1.98,3120000000.0,191686000000.0,115277000000.0,6034000000.0,25530000000.0,5144000000.0,1987000000.0,7439000000.0
31,200406,2023,4,10-Q,143.7798,1.71,3120000000.0,166061000000.0,94833000000.0,8905000000.0,21351000000.0,4309000000.0,2954000000.0,14928000000.0
32,200406,2024,1,10-K,153.1275,13.88,3120000000.0,167558000000.0,98784000000.0,11770000000.0,85159000000.0,13326000000.0,7486000000.0,22791000000.0
33,200406,2024,2,10-Q,155.7188,-1.35,3120000000.0,171966000000.0,101946000000.0,2869000000.0,21383000000.0,-3255000000.0,807000000.0,3657000000.0
34,200406,2024,3,10-Q,145.0562,1.95,3120000000.0,181088000000.0,109550000000.0,5854000000.0,22447000000.0,4686000000.0,1783000000.0,9290000000.0
35,200406,2024,4,10-Q,162.0600,1.12,3120000000.0,178287000000.0,108129000000.0,8839000000.0,22471000000.0,2694000000.0,2812000000.0,17283000000.0
