,CompanyID,Year,Quarter,Form_Type,Adjusted_Price_Per_Share,Basic_EPS,Total_Common_Shares_Outstanding,Total_Assets,Total_Liabilities,Dividends,Revenue,Net_Income,Capital_Expenditure,Operating_Cash_Flow
0,59478,2016,1,10-K,71.5012,2.27,1061913000.0,35569000000.0,20979000000.0,2127300000.0000002,19958700000.0,2408400000.0,1066200000.0,2772800000.0
1,59478,2016,2,10-Q,61.5326,0.42,1059900000.0,34692000000.0,19663000000.0,538300000.0,4865100000.0,440100000.0,154300000.0,326900000.0
2,59478,2016,3,10-Q,67.7417,0.71,1057700000.0,36475000000.0,21819000000.0,1079500000.0,5404800000.0,747700000.0,399700000.0,1074900000.0
3,59478,2016,4,10-Q,69.4777,0.74,1057700000.0,37590000000.0,21974000000.0,1617400000.0,5191700000.0,778000000.0,627200000.0,2734100000.0
4,59478,2017,1,10-K,64.0836,2.59,1058324000.0,38806000000.0,24726000000.0,2158500000.0,21222100000.0,2737600000.0,1037000000.0,4851000000.0
5,59478,2017,2,10-Q,73.7745,-0.10,1056300000.0,37624000000.0,23520000000.0,547400000.0,5228300000.0,-110800000.0,169000000.0,339900000.0
6,59478,2017,3,10-Q,72.6548,0.96,1055000000.0,40946000000.0,26776000000.0,1096100000.0,5824300000.0,1008000000.0,390600000.0,1991000000.0
7,59478,2017,4,10-Q,75.9990,0.53,1053400000.0,43010000000.0,28049000000.0,1643800000.0,5658000000.0,555600000.0,633300000.0,3872100000.0
8,59478,2018,1,10-K,75.5125,-0.19,1052023000.0,44981000000.0,33313000000.0,2192100000.0,22871300000.0,-204100000.0,1076800000.0,5615600000.0
9,59478,2018,2,10-Q,69.6788,-1.16,1048000000.0,44356000000.0,29768000000.0,587300000.0,5700000000.0,-1217400000.0,236500000.0,436500000.0
10,59478,2018,3,10-Q,77.3799,-0.25,1030200000.0,42359000000.0,30738000000.0,1166600000.0,6355200000.0,-259899999.99999997,546500000.0,1954000000.0
11,59478,2018,4,10-Q,97.8464,1.13,1020400000.0,44625000000.0,30474000000.0,1739200000.0,6061900000.0,1149500000.0,816300000.0,4075800000.0
12,59478,2019,1,10-K,106.0553,-3.13,1027721000.0,43908000000.0,32999000000.0,2311800000.0,24555700000.0,-3232000000.0,1210600000.0,472000000.0
13,59478,2019,2,10-Q,119.5579,4.33,979900000.0,38007000000.0,35442000000.0,637200000.0,5092200000.0,4241600000.0000005,203700000.0,311300000.0
14,59478,2019,3,10-Q,102.6434,1.44,920800000.0,38666000000.0,35809000000.0,1235200000.0,5636700000.0,5568800000.0,444000000.0,1362800000.0
15,59478,2019,4,10-Q,104.2129,1.37,913900000.0,37893000000.0,34431000000.0,1822600000.0,5476600000.0,1253900000.0,707400000.0,2872900000.0
16,59478,2020,1,10-K,123.1871,-8.93,931059000.0,39286000000.0,36587000000.0,2409800000.0,22319500000.0,-8318400000.0,1033900000.0000001,4836600000.0
17,59478,2020,2,10-Q,130.6984,1.60,908200000.0,41103000000.0,37906000000.0,671300000.0,5859800000.0,1456500000.0,258300000.0,382400000.0
18,59478,2020,3,10-Q,155.4089,1.56,907200000.0,41967000000.0,37695000000.0,1345500000.0,5499400000.0,1412000000.0,540100000.0,2877800000.0
19,59478,2020,4,10-Q,140.8013,1.33,907200000.0,43946000000.0,38950000000.0,2017100000.0,5740599999.999999,1208399999.9999998,933199999.9999999,4684400000.0
20,59478,2021,1,10-K,161.4487,6.82,907634000.0,46633000000.0,40808000000.0,2687100000.0,24539800000.0,6193700000.0,1387900000.0,6499600000.0
21,59478,2021,2,10-Q,179.3911,-1.49,908800000.0,46838000000.0,39739000000.0,774800000.0,6805600000.0,-1355300000.0,300300000.0,1697400000.0
22,59478,2021,3,10-Q,221.3541,1.53,907300000.0,47809000000.0,41145000000.0,1543100000.0,6740100000.0,1390200000.0,681600000.0,3472900000.0
23,59478,2021,4,10-Q,223.5486,1.22,906700000.0,48187000000.0,40233000000.0,2313500000.0,6772800000.0,1110100000.0,1018400000.0,5104200000.0
24,59478,2022,1,10-K,268.1269,6.15,906963000.0,48806000000.0,39651000000.0,3086800000.0,28318400000.0,5581700000.0,1309800000.0,7260700000.0
25,59478,2022,2,10-Q,279.1403,2.11,903700000.0,46919000000.0,37457000000.0,885500000.0,7810000000.0,1902900000.0,365400000.0,2499200000.0
26,59478,2022,3,10-Q,317.1065,1.06,900300000.0,47064000000.0,38405000000.0,1769200000.0,6488000000.0,952500000.0,736400000.0,3319900000.0
27,59478,2022,4,10-Q,317.2518,1.61,900700000.0,47462000000.0,37296000000.0,2651400000.0,6941600000.0,1451700000.0,1353600000.0,5504700000.0
28,59478,2023,1,10-K,359.9284,6.93,901736000.0,49490000000.0,38715000000.0,3535800000.0,28541400000.0,6244800000.0,1854300000.0,7084400000.0
29,59478,2023,2,10-Q,338.9692,1.49,901000000.0,53163000000.0,41868000000.0,1017200000.0,6960000000.0,1344900000.0,668500000.0,1730600000.0
30,59478,2023,3,10-Q,464.1060,1.96,899700000.0,54814000000.0,43665000000.0,2035000000.0,8312100000.0,1763200000.0,1406700000.0,2362500000.0
31,59478,2023,4,10-Q,532.6642,-0.06,899800000.0,57916000000.0,46609000000.0,3051200000.0,9498600000.0,-57400000.0,2377000000.0,4552000000.0
32,59478,2024,1,10-K,579.1429,5.80,900181000.0,64006000000.0,53142000000.0,4069300000.0,34124100000.0,5240400000.0,3447600000.0,4240100000.0000005
33,59478,2024,2,10-Q,774.2459,2.49,900800000.0,63944000000.0,51047000000.0,1169200000.0,8768000000.0,2242900000.0,986300000.0,1166000000.0
34,59478,2024,3,10-Q,902.5459,3.29,900900000.0,71875000000.0,58239000000.0,2341600000.0,11302800000.0,2967000000.0,2211100000.0,2632200000.0
35,59478,2024,4,10-Q,884.3992,-1.08,901000000.0,75607000000.0,61286000000.0,3512100000.0,11439100000.0,-970300000.0,3561800000.0,6344100000.0
