,CompanyID,Year,Quarter,Form_Type,Adjusted_Price_Per_Share,Basic_EPS,Total_Common_Shares_Outstanding,Total_Assets,Total_Liabilities,Dividends,Revenue,Net_Income,Capital_Expenditure,Operating_Cash_Flow
0,789019,2016,1,10-Q,48.9385,0.63,7925000000.0,180098000000.0,103318000000.0,2868000000.0,23796000000.0,4998000000.0,2024000000.0,5598000000.0
1,789019,2016,2,10-Q,49.0613,0.48,7870000000.0,181869000000.0,107063000000.0,2842000000.0,20531000000.0,3756000000.0,2308000000.0,10367000000.0
2,789019,2016,3,10-K,45.7787,2.12,8027000000.0,193694000000.0,193694000000.0,11006000000.0,85320000000.0,16798000000.0,8343000000.0,33325000000.0
3,789019,2016,4,10-Q,51.8542,0.60,7784000000.0,212524000000.0,142152000000.0,2800000000.0,20453000000.0,4690000000.0,2163000000.0,11549000000.0
4,789019,2017,1,10-Q,56.3120,0.67,7730000000.0,224610000000.0,155801000000.0,3024000000.0,24090000000.0,5200000000.0,1988000000.0,6293000000.0
5,789019,2017,2,10-Q,60.0436,0.62,7723000000.0,225017000000.0,155288000000.0,3012000000.0,22090000000.0,4801000000.0,1695000000.0,10660000000.0
6,789019,2017,3,10-K,63.1955,2.74,7708000000.0,241086000000.0,168692000000.0,11845000000.0,89950000000.0,21204000000.0,8129000000.0,39507000000.0
7,789019,2017,4,10-Q,68.6567,0.85,7720000000.0,249097000000.0,159450000000.0,3003000000.0,24538000000.0,6576000000.0,2132000000.0,12440000000.0
8,789019,2018,1,10-Q,79.2405,0.82,7705000000.0,256003000000.0,177643000000.0,3238000000.0,28918000000.0,-6302000000.0,2586000000.0,7875000000.0
9,789019,2018,2,10-Q,84.9395,0.96,7690000000.0,245497000000.0,166258000000.0,3232000000.0,26819000000.0,7424000000.0,2934000000.0,12151000000.0
10,789019,2018,3,10-K,92.1672,2.15,7677000000.0,258848000000.0,176130000000.0,12699000000.0,110360000000.0,16571000000.0,11632000000.0,43884000000.0
11,789019,2018,4,10-Q,107.3145,1.15,7680000000.0,257619000000.0,171652000000.0,3220000000.0,29084000000.0,8824000000.0,3602000000.0,13657000000.0
12,789019,2019,1,10-Q,95.7218,1.09,7683000000.0,258859000000.0,166731000000.0,3544000000.0,32471000000.0,-8420000000.0,3707000000.0,8900000000.0
13,789019,2019,2,10-Q,111.6264,1.15,7677000000.0,263281000000.0,168417000000.0,3526000000.0,30571000000.0,8809000000.0,2565000000.0,13520000000.0
14,789019,2019,3,10-K,127.2516,5.11,7677000000.0,286556000000.0,184226000000.0,13811000000.0,125843000000.0,39240000000.0,13925000000.0,52185000000.0
15,789019,2019,4,10-Q,132.5211,1.40,7634000000.0,278955000000.0,172894000000.0,3510000000.0,33055000000.0,10678000000.0,3385000000.0,13818000000.0
16,789019,2020,1,10-Q,150.8295,1.53,7611000000.0,282794000000.0,172685000000.0,3886000000.0,36906000000.0,11649000000.0,3545000000.0,10680000000.0
17,789019,2020,2,10-Q,151.2498,1.41,7590000000.0,285449000000.0,170948000000.0,3876000000.0,35021000000.0,10752000000.0,3767000000.0,17504000000.0
18,789019,2020,3,10-K,195.7098,5.82,7571000000.0,301311000000.0,183007000000.0,15137000000.0,143015000000.0,44281000000.0,15441000000.0,60675000000.0
19,789019,2020,4,10-Q,202.7604,1.84,7571000000.0,301001000000.0,177609000000.0,3856000000.0,37154000000.0,13893000000.0,4907000000.0,19335000000.0
20,789019,2021,1,10-Q,214.9841,2.05,7546000000.0,304137000000.0,173901000000.0,4230000000.0,43076000000.0,15463000000.0,4174000000.0,12516000000.0
21,789019,2021,2,10-Q,228.4104,2.05,7571000000.0,308879000000.0,174374000000.0,4221000000.0,41706000000.0,15457000000.0,5089000000.0,22179000000.0
22,789019,2021,3,10-K,263.0483,8.12,7519000000.0,333779000000.0,191791000000.0,16521000000.0,168088000000.0,61271000000.0,20622000000.0,76740000000.0
23,789019,2021,4,10-Q,274.2762,2.73,7519000000.0,335418000000.0,183440000000.0,4206000000.0,45317000000.0,20505000000.0,5810000000.0,24540000000.0
24,789019,2022,1,10-Q,327.7994,2.50,7500000000.0,340389000000.0,180379000000.0,4652000000.0,51728000000.0,18765000000.0,5865000000.0,14480000000.0
25,789019,2022,2,10-Q,301.1211,2.23,7519000000.0,344607000000.0,181683000000.0,4645000000.0,49360000000.0,16728000000.0,5340000000.0,25386000000.0
26,789019,2022,3,10-K,251.4536,9.70,7464000000.0,364840000000.0,198298000000.0,18135000000.0,198270000000.0,72738000000.0,23886000000.0,89035000000.0
27,789019,2022,4,10-Q,228.5098,2.35,7457000000.0,359784000000.0,186218000000.0,4621000000.0,50122000000.0,17556000000.0,6283000000.0,23198000000.0
28,789019,2023,1,10-Q,235.9613,2.20,7464000000.0,364552000000.0,181416000000.0,5066000000.0,52747000000.0,16425000000.0,6274000000.0,11173000000.0
29,789019,2023,2,10-Q,284.3774,2.46,7437000000.0,380088000000.0,185405000000.0,5059000000.0,52857000000.0,18299000000.0,6607000000.0,24441000000.0
