,CompanyID,Year,Quarter,Form_Type,Adjusted_Price_Per_Share,Basic_EPS,Total_Common_Shares_Outstanding,Total_Assets,Total_Liabilities,Dividends,Revenue,Net_Income,Capital_Expenditure,Operating_Cash_Flow
0,78003,2016,1,10-K,21.3132,1.13,6176000000.0,167460000000.0,102463000000.0,6940000000.0,48851000000.0,6960000000.0,1397000000.0,14512000000.0
1,78003,2016,2,10-Q,21.8155,0.49,6150000000.0,162929000000.0,99582000000.0,1854000000.0,13005000000.0,3016000000.0,301000000.0,1651000000.0
2,78003,2016,3,10-Q,24.8258,0.33,6068000000.0,170658000000.0,107592000000.0,3675000000.0,13147000000.0,2019000000.0,13609000000.0,5230000000.0
3,78003,2016,4,10-Q,21.5213,0.22,6066000000.0,178430000000.0,114829000000.0,1821000000.0,13045000000.0,1320000000.0,13284000000.0,9929000000.0
4,78003,2017,1,10-K,22.2643,1.18,6089000000.0,171615000000.0,111776000000.0,7317000000.0,52824000000.0,7215000000.0,1823000000.0,15901000000.0
5,78003,2017,2,10-Q,23.4863,0.52,6092000000.0,168784000000.0,110038000000.0,1945000000.0,12779000000.0,3121000000.0,13238000000.0,1589000000.0
6,78003,2017,3,10-Q,23.1825,0.52,5958000000.0,168558000000.0,109863000000.0,1904000000.0,12896000000.0,3073000000.0,806000000.0,4841000000.0
7,78003,2017,4,10-Q,24.7491,0.48,5951000000.0,172151000000.0,111041000000.0,5750000000.0,13168000000.0,2840000000.0,13505000000.0,9728000000.0
8,78003,2018,1,10-K,25.8004,3.57,5970000000.0,171797000000.0,100141000000.0,7659000000.0,52546000000.0,21308000000.0,1956000000.0,16470000000.0
9,78003,2018,2,10-Q,26.3190,0.60,5957000000.0,164612000000.0,94071000000.0,2032000000.0,12906000000.0,3561000000.0,13971000000.0,1983000000.0
10,78003,2018,3,10-Q,28.9842,0.66,5866000000.0,164980000000.0,94856000000.0,1980000000.0,13466000000.0,3872000000.0,13919000000.0,5830000000.0
11,78003,2018,4,10-Q,32.2637,0.70,5986000000.0,167838000000.0,96174000000.0,6015000000.0,13298000000.0,4114000000.0,14036000000.0,11089000000.0
12,78003,2019,1,10-K,32.2040,1.90,5977000000.0,159422000000.0,95664000000.0,7978000000.0,53647000000.0,11153000000.0,2042000000.0,15827000000.0
13,78003,2019,2,10-Q,31.5991,0.69,5635000000.0,155421000000.0,96263000000.0,2045000000.0,13118000000.0,3884000000.0,2019000000.0,1698000000.0
14,78003,2019,3,10-Q,32.5171,0.91,5562000000.0,156199000000.0,96274000000.0,1991000000.0,13264000000.0,5046000000.0,13521000000.0,4309000000.0
15,78003,2019,4,10-Q,27.2238,1.38,5649000000.0,170446000000.0,105051000000.0,6051000000.0,12680000000.0,7680000000.0,13701000000.0,8819000000.0
16,78003,2020,1,10-K,29.9758,2.92,5569000000.0,167489000000.0,104042000000.0,8043000000.0,51750000000.0,16273000000.0,2176000000.0,12588000000.0
17,78003,2020,2,10-Q,25.2282,0.61,5545000000.0,166336000000.0,100998000000.0,2105000000.0,12028000000.0,3410000000.0,14040000000.0,3133000000.0
18,78003,2020,3,10-Q,25.5344,0.62,5619000000.0,177934000000.0,113370000000.0,4216000000.0,11801000000.0,3426000000.0,14113000000.0,6688000000.0
19,78003,2020,4,10-Q,28.9390,0.39,5557000000.0,178983000000.0,113487000000.0,6328000000.0,12131000000.0,2194000000.0,14403000000.0,8778000000.0
20,78003,2021,1,10-K,30.9126,1.73,5632000000.0,154229000000.0,90756000000.0,8440000000.0,41908000000.0,9616000000.0,13900000000.0,10586000000.0
21,78003,2021,2,10-Q,32.8108,0.87,5584000000.0,158818000000.0,89953000000.0,2172000000.0,14582000000.0,4877000000.0,14011000000.0,2807000000.0
22,78003,2021,3,10-Q,37.0385,0.99,5598000000.0,169920000000.0,99605000000.0,4355000000.0,18977000000.0,5563000000.0,14224000000.0,5364000000.0
23,78003,2021,4,10-Q,37.8431,1.45,5609000000.0,179188000000.0,103221000000.0,6540000000.0,24094000000.0,8146000000.0,14436000000.0,26660000000.0
24,78003,2022,1,10-K,51.5435,4.00,5601000000.0,181476000000.0,104013000000.0,8729000000.0,81288000000.0,21979000000.0,14882000000.0,32922000000.0
25,78003,2022,2,10-Q,43.1532,1.40,5617000000.0,183841000000.0,101155000000.0,2249000000.0,25661000000.0,7870000000.0,643000000.0,6578000000.0
26,78003,2022,3,10-Q,45.1252,1.77,5712000000.0,195290000000.0,107821000000.0,4493000000.0,27742000000.0,9906000000.0,15244000000.0,14717000000.0
27,78003,2022,4,10-Q,41.5874,1.54,5607000000.0,195350000000.0,102459000000.0,6738000000.0,22638000000.0,8608000000.0,2235000000.0,20685000000.0
28,78003,2023,1,10-K,46.1706,5.59,5733000000.0,197205000000.0,101288000000.0,8983000000.0,100330000000.0,31372000000.0,3236000000.0,29267000000.0
29,78003,2023,2,10-Q,35.3671,0.98,5634000000.0,195617000000.0,94381000000.0,2303000000.0,18282000000.0,5543000000.0,17052000000.0,1212000000.0
30,78003,2023,3,10-Q,33.5267,0.41,5646000000.0,220168000000.0,120875000000.0,4618000000.0,12734000000.0,2327000000.0,17488000000.0,24403000000.0
31,78003,2023,4,10-Q,28.4131,-0.42,5646000000.0,215021000000.0,117817000000.0,6932000000.0,13232000000.0,-2376000000.0,17862000000.0,3460000000.0
32,78003,2024,1,10-K,27.1372,0.38,5643000000.0,226501000000.0,137213000000.0,9247000000.0,58496000000.0,2119000000.0,3907000000.0,8700000000.0
33,78003,2024,2,10-Q,26.5569,0.55,5657000000.0,221095000000.0,128537000000.0,2372000000.0,14879000000.0,3115000000.0,18803000000.0,1090000000.0
34,78003,2024,3,10-Q,27.1761,0.01,5666000000.0,216193000000.0,128218000000.0,4752000000.0,2067000000.0,41000000.0,18957000000.0,691000000.0
35,78003,2024,4,10-Q,28.4921,-0.79,5705000000.0,219476000000.0,126918000000.0,7132000000.0,17702000000.0,-4473000000.0,18541000000.0,12026000000.0
